#Nite           Exposure        Problem
20200207        931169          Flame Nebula
20200207        931177          Flame Nebula
20200211        932658          Flame Nebula
20200306        941654          Flame Nebula
20200315        943309          Flame Nebula
20190810        885221          NObjects 
20190812        886055          NObjects 
20190812        886059          NObjects 
20190812        886061          NObjects 
20191203        913772          NObjects
20190915        895734          Clouds
20190915        895735          Clouds
20200123        926371          Telescope moving
20200202        929465          Ghosting
20200316        943709          Ghosting
20200305        941441          NObjects
20200308        942360          NObjects
20200201        928850          Ghosting
