#Nite           Exposure        Problem
20210816        1026168         Ghosting
20210817        1026566         Ghosting
20210817        1026593         Ghosting
20211223        1065643         NObjects
20220108        1070324         Guider Failed
20220902        1129120         Out of Focus
20221016        1141836         Junk      
20221016        1141837         Junk
20220903        1129817         Ghosting
20220903        1129818         Ghosting
20220909        1132549         Out of Focus
20220909        1132553         Out of Focus
20221225        1159486         Telescope Moving
20221015        1141836         Junk 
20221217        1156998         Junk 
20221217        1156999         Junk 
20230107        1163320         Junk 
20230110        1164383         Junk 
20230331        1189887         Junk
