#Nite           Exposure        Problem
20130816        226942          Clouds 
20130816        227005          Clouds 
20130818        227850          Clouds 
20140215        285482          Fringing
20140215        285487          Fringing
20140224        288055          Fringing
20140224        288056          Fringing
20140302        289494          NObjects
20130816        226952          NObjects
20130816        226953          NObjects
20130816        226954          NObjects
20131128        258479          Noisy Backplane
20131128        258480          Noisy Backplane
20131026        247159          Ghosting
20140418        302366          Telescope Moving
